3 100
3500 3
 2.28171  1.41138 -0.1623 
 2.09349  1.13638 -0.11536
 1.98297  0.58753 -0.45282
 2.02136  0.96264  0.00447
 2.02948  1.06596 -0.57298
 2.02965  0.99119 -0.0161 
 1.59658  1.2921   0.35483
 2.13974  1.10789 -0.00886
 1.88765  1.15644 -0.29869
 1.89427  1.39832 -0.88229
 1.87163  0.64233 -0.56586
 2.10604  1.03516  0.00795
 1.98134  0.99636 -0.00033
 1.36133  0.94577 -0.3916 
 2.0382   0.95445 -0.29347
 1.64413  1.23571  0.23752
 1.91007  0.96783  0.14599
 2.41519  1.3827   0.37162
 1.91731  0.83966  0.11443
 2.12467  0.898   -0.0257 
 1.97107  1.01708  0.06287
 2.00355  1.01117  0.73257
 2.10012  0.91413  0.044  
 1.404    0.53147 -0.37469
 1.94637  1.02499  0.15734
 2.09381  0.95795  0.1282 
 1.98137  0.96171 -0.07301
 1.61743  1.02371 -0.3724 
 2.27047  1.55858  0.54846
 1.94358  1.12788 -0.00916
 1.86488  1.05408  0.17317
 1.72384  1.34739  0.12009
 1.66954  0.93471  0.10675
 2.03287  0.9479   0.17556
 2.33919  1.0221  -0.30325
 2.06     0.93601 -0.69828
 1.77857  0.9081  -0.6123 
 2.00482  1.00133  0.1892 
 1.91519  0.53199  0.06831
 1.78645  1.27719  0.53018
 2.64892  1.19564 -0.26815
 1.85189  0.90009  0.02204
 2.01481  1.02035 -0.19254
 1.51196  1.30847 -0.02088
 2.14247  1.00671 -0.59534
 1.96856  1.00584 -0.11343
 1.62892  1.16978  0.7876 
 2.34408  1.36936 -0.37984
 1.935    1.00145 -0.51877
 2.11736  0.57419 -0.41315
 1.87131  1.09581  0.06918
 1.92572  0.58609 -0.47584
 1.86464  0.86201  0.45118
 2.14815  1.022    0.49162
 1.9467   1.0277   0.6098 
 2.06441  1.08203  0.10366
 2.00505  0.99804  0.00281
 2.08938  1.00378 -0.27453
 1.99653  1.02868  0.20385
 1.97393  0.41588 -0.18654
 2.23225  1.21218  0.50834
 1.69238  1.14351 -0.44   
 2.27634  0.94613 -0.26274
 2.01573  0.99304  0.01358
 1.65652  0.97771  0.53197
 1.20962  0.89163 -0.39161
 1.83358  1.45037 -0.16554
 2.0627   1.06016 -0.70604
 1.45982  1.24992 -0.30727
 1.97776  0.98698  0.00335
 1.83859  0.94687 -0.07983
 2.03512  0.82797 -0.45969
 2.06937  0.38276  0.68621
 1.1978   1.46806 -0.14614
 2.00091  1.00022  0.00043
 1.82179  0.96214 -0.12005
 2.15791  1.28793  0.14589
 1.60156  1.81071 -0.34084
 1.99995  1.00077 -0.00441
 2.15212  0.87934  0.46652
 2.69884  1.17895 -0.06138
 1.80342  0.79843  0.91282
 1.97669  0.95376  0.35954
 1.97241  0.98427  0.74446
 2.1899   0.82491  0.5819 
 1.58444  0.52503  0.3319 
 1.84498  1.09601  0.78125
 2.24417  1.15778 -0.33108
 2.28333  0.93117 -0.00596
 2.14106  1.04411 -0.56546
 2.64062  1.29535  0.39974
 2.39545  1.1908  -0.23192
 1.65802  0.36833 -0.02644
 1.89747  1.10913 -0.38994
 1.79778  0.97998  0.15345
 1.80474  1.00084  0.21255
 2.233    0.95361  0.02521
 1.47626  1.50131  0.64502
 1.0779   0.90751  0.28404
 1.75498  1.39597  0.16687
 1.55084  0.53168 -0.59316
 2.09522  0.99106 -0.42548
 1.59216  1.05521  0.08779
 1.61762  1.09089  0.36595
 1.95806  1.05774 -0.88134
 2.14201  0.76166 -0.22127
 2.11564  0.83844  0.28253
 1.98764  0.90735  0.20138
 1.99996  0.99193  0.50719
 2.24631  1.31213  0.74592
 1.81197  1.65943 -0.54915
 1.92812  1.0658   0.29362
 1.79869  1.09527  0.34279
 2.08944  1.62745 -0.74994
 1.56713  1.11775  0.27662
 2.51078  0.60995 -0.17399
 2.33063  1.06769  0.69627
 2.06958  0.98803 -0.52288
 2.00412  1.10437 -0.45123
 1.6987   1.10938 -0.30259
 1.19034  0.98491  0.09807
 1.57744  1.04732 -0.40081
 2.03691  1.13158 -0.77276
 1.74677  1.75849  0.37296
 2.10854  1.0987   0.09859
 2.06282  0.90568  0.01934
